id,name,kana,roman,parent,neighbors
1,北海道,ほっかいどう,Hokkaido,,2|47
2,青森,あおもり,Aomori,,1|3|5
3,岩手,いわて,Iwate,,2|5|4
4,宮城,みやぎ,Miyagi,,3|5|6|7
5,秋田,あきた,Akita,,2|3|4|6
6,山形,やまがた,Yamagata,,5|4|7|15
7,福島,ふくしま,Fukushima,,6|4|8|9|10|15
8,茨城,いばらき,Ibaraki,,7|9|11|12
9,栃木,とちぎ,Tochigi,,7|8|10|11
10,群馬,ぐんま,Gunma,,7|9|11|20|15
11,埼玉,さいたま,Saitama,,8|9|10|12|13|19|20
12,千葉,ちば,Chiba,,8|11|13|14
13,東京,とうきょう,Tokyo,,11|12|14|19
14,神奈川,かながわ,Kanagawa,,12|13|19|22
15,新潟,にいがた,Niigata,,6|7|10|20|16
16,富山,とやま,Toyama,,15|20|21|17
17,石川,いしかわ,Ishikawa,,16|21|18
18,福井,ふくい,Fukui,,17|21|25|26
19,山梨,やまなし,Yamanashi,,11|13|14|20|22
20,長野,ながの,Nagano,,10|11|15|16|19|22|23|21
21,岐阜,ぎふ,Gifu,,16|17|18|20|23|24|25
22,静岡,しずおか,Shizuoka,,14|19|20|23
23,愛知,あいち,Aichi,,20|21|22|24
24,三重,みえ,Mie,,21|23|25|26|29|30
25,滋賀,しが,Shiga,,18|21|24|26
26,京都,きょうと,Kyoto,,18|24|25|27|28|29
27,大阪,おおさか,Osaka,,26|28|29|30
28,兵庫,ひょうご,Hyogo,,26|27|31|33|36
29,奈良,なら,Nara,,26|27|24|30
30,和歌山,わかやま,Wakayama,,27|29|24
31,鳥取,とっとり,Tottori,,28|32|33|34
32,島根,しまね,Shimane,,31|34|35
33,岡山,おかやま,Okayama,,31|28|34|37
34,広島,ひろしま,Hiroshima,,31|32|33|35|38
35,山口,やまぐち,Yamaguchi,,32|34|40
36,徳島,とくしま,Tokushima,,28|37|39|38
37,香川,かがわ,Kagawa,,36|33|38
38,愛媛,えひめ,Ehime,,34|36|37|39
39,高知,こうち,Kochi,,36|38
40,福岡,ふくおか,Fukuoka,,35|41|44|43
41,佐賀,さが,Saga,,40|42
42,長崎,ながさき,Nagasaki,,41
43,熊本,くまもと,Kumamoto,,40|44|45|46
44,大分,おおいた,Oita,,40|43|45
45,宮崎,みやざき,Miyazaki,,43|44|46
46,鹿児島,かごしま,Kagoshima,,43|45
47,沖縄,おきなわ,Okinawa,,1
