id,name,kana,roman,parent,neighbors
29201,奈良市,ならし,Nara,29,29203|29204|29206|29209|29212|29322
29202,大和高田市,やまとたかだし,Yamatotakada,29,29205|29208|29210|29211|29426
29203,大和郡山市,やまとこおりやまし,Yamatokoriyama,29,29201|29204|29209|29342|29344|29345|29361
29204,天理市,てんりし,Tenri,29,29201|29203|29206|29361|29362|29363
29205,橿原市,かしはらし,Kashihara,29,29202|29206|29208|29211|29363|29401|29402|29426
29206,桜井市,さくらいし,Sakurai,29,29201|29204|29205|29212|29363|29402|29441
29207,五條市,ごじょうし,Gojo,29,29208|29441|29442|29443|29444|29446|29447|29449|29451
29208,御所市,ごせし,Gose,29,29202|29205|29207|29211|29401|29442
29209,生駒市,いこまし,Ikoma,29,29201|29203|29342
29210,香芝市,かしばし,Kashiba,29,29202|29211|29424|29425|29426
29211,葛城市,かつらぎし,Katsuragi,29,29202|29205|29208|29210
29212,宇陀市,うだし,Uda,29,29201|29206|29322|29385|29386|29441|29453
29322,山添村,やまぞえむら,Yamazoe,29,29201|29212
29342,平群町,へぐりちょう,Heguri,29,29203|29209|29343|29344
29343,三郷町,さんごうちょう,Sango,29,29342|29344|29425
29344,斑鳩町,いかるがちょう,Ikaruga,29,29203|29342|29343|29345|29425|29427
29345,安堵町,あんどちょう,Ando,29,29203|29344|29361|29427
29361,川西町,かわにしちょう,Kawanishi,29,29203|29204|29345|29362|29427
29362,三宅町,みやけちょう,Miyake,29,29204|29361|29363|29426
29363,田原本町,たわらもとちょう,Tawaramoto,29,29204|29205|29206|29362|29426
29385,曽爾村,そにむら,Soni,29,29212|29386
29386,御杖村,みつえむら,Mitsue,29,29212|29385
29401,高取町,たかとりちょう,Takatori,29,29205|29208|29402|29441|29442
29402,明日香村,あすかむら,Asuka,29,29205|29206|29401|29441
29424,上牧町,かんまきちょう,Kanmaki,29,29210|29425|29426|29427
29425,王寺町,おうじちょう,Oji,29,29210|29343|29344|29424|29427
29426,広陵町,こうりょうちょう,Koryo,29,29202|29205|29210|29362|29363|29424|29427
29427,河合町,かわいちょう,Kawai,29,29344|29345|29361|29424|29425|29426
29441,吉野町,よしのちょう,Yoshino,29,29206|29207|29212|29401|29402|29442|29444|29452|29453
29442,大淀町,おおよどちょう,Oyodo,29,29207|29208|29401|29441|29443
29443,下市町,しもいちちょう,Shimoichi,29,29207|29442|29444|29446
29444,黒滝村,くろたきむら,Kurotaki,29,29207|29441|29443|29446|29452
29446,天川村,てんかわむら,Tenkawa,29,29207|29443|29444|29447|29451|29452
29447,野迫川村,のせがわむら,Nosegawa,29,29207|29446|29449
29449,十津川村,とつかわむら,Totsukawa,29,29207|29447|29450|29451
29450,下北山村,しもきたやまむら,Shimokitayama,29,29449|29451
29451,上北山村,かみきたやまむら,Kamikitayama,29,29207|29446|29449|29450|29452
29452,川上村,かわかみむら,Kawakami,29,29441|29444|29446|29451|29453
29453,東吉野村,ひがしよしのむら,Higashiyoshino,29,29212|29441|29452
