id,name,kana,roman,parent,neighbors
13101,千代田区,ちよだく,Chiyoda,13,13102|13103|13104|13105|13106
13102,中央区,ちゅうおうく,Chuo,13,13101|13103|13106|13107|13108
13103,港区,みなとく,Minato,13,13101|13102|13104|13113|13109|13108
13104,新宿区,しんじゅくく,Shinjuku,13,13101|13103|13105|13116|13114|13113
13105,文京区,ぶんきょうく,Bunkyo,13,13101|13104|13106|13118|13117|13116
13106,台東区,たいとうく,Taito,13,13101|13102|13105|13118|13107
13107,墨田区,すみだく,Sumida,13,13102|13106|13118|13121|13122|13123|13108
13108,江東区,こうとうく,Koto,13,13102|13103|13107|13123|13109|13111
13109,品川区,しながわく,Shinagawa,13,13103|13108|13113|13110|13111
13110,目黒区,めぐろく,Meguro,13,13109|13113|13112|13111
13111,大田区,おおたく,Ota,13,13108|13109|13110|13112
13112,世田谷区,せたがやく,Setagaya,13,13110|13111|13113|13115|13204|13208|13219
13113,渋谷区,しぶやく,Shibuya,13,13103|13104|13109|13110|13112|13114|13115
13114,中野区,なかのく,Nakano,13,13104|13113|13116|13120|13115
13115,杉並区,すぎなみく,Suginami,13,13112|13113|13114|13120|13203|13204
13116,豊島区,としまく,Toshima,13,13104|13105|13114|13117|13119|13120
13117,北区,きたく,Kita,13,13105|13116|13118|13121|13119
13118,荒川区,あらかわく,Arakawa,13,13105|13106|13107|13117|13121
13119,板橋区,いたばしく,Itabashi,13,13116|13117|13120
13120,練馬区,ねりまく,Nerima,13,13114|13115|13116|13119|13229|13203
13121,足立区,あだちく,Adachi,13,13107|13117|13118|13122
13122,葛飾区,かつしかく,Katsushika,13,13107|13121|13123
13123,江戸川区,えどがわく,Edogawa,13,13107|13108|13122
13201,八王子市,はちおうじし,Hachioji,13,13207|13212|13224|13209|13228|13307
13202,立川市,たちかわし,Tachikawa,13,13211|13214|13215|13220|13223|13207|13212
13203,武蔵野市,むさしのし,Musashino,13,13115|13120|13229|13210|13204
13204,三鷹市,みたかし,Mitaka,13,13112|13115|13203|13208|13210|13206
13205,青梅市,おうめし,Ome,13,13227|13303|13228|13305|13308
13206,府中市,ふちゅうし,Fuchu,13,13204|13208|13210|13214|13215|13212|13224|13225
13207,昭島市,あきしまし,Akishima,13,13202|13223|13218|13228|13201|13212
13208,調布市,ちょうふし,Chofu,13,13112|13204|13219|13206|13225
13209,町田市,まちだし,Machida,13,13224|13201
13210,小金井市,こがねいし,Koganei,13,13203|13204|13206|13229|13211|13214
13211,小平市,こだいらし,Kodaira,13,13210|13229|13222|13213|13214|13202|13220
13212,日野市,ひのし,Hino,13,13206|13215|13202|13207|13201|13224
13213,東村山市,ひがしむらやまし,Higashimurayama,13,13222|13221|13211|13220
13214,国分寺市,こくぶんじし,Kokubunji,13,13206|13210|13211|13215|13202
13215,国立市,くにたちし,Kunitachi,13,13206|13214|13202|13212
13218,福生市,ふっさし,Fussa,13,13223|13207|13227|13228
13219,狛江市,こまえし,Komae,13,13112|13208
13220,東大和市,ひがしやまとし,Higashiyamato,13,13213|13211|13202|13223
13221,清瀬市,きよせし,Kiyose,13,13222|13213
13222,東久留米市,ひがしくるめし,Higashikurume,13,13229|13211|13213|13221
13223,武蔵村山市,むさしむらやまし,Musashimurayama,13,13202|13220|13303|13227|13218|13207
13224,多摩市,たまし,Tama,13,13206|13212|13225|13209|13201
13225,稲城市,いなぎし,Inagi,13,13208|13206|13224
13227,羽村市,はむらし,Hamura,13,13223|13218|13205|13228|13303
13228,あきる野市,あきるのし,Akiruno,13,13207|13201|13218|13227|13205|13305|13307
13229,西東京市,にしとうきょうし,Nishitokyo,13,13120|13203|13210|13211|13222
13303,瑞穂町,みずほまち,Mizuho,13,13223|13227|13205
13305,日の出町,ひのでまち,Hinode,13,13205|13228|13308
13307,檜原村,ひのはらむら,Hinohara,13,13201|13228|13308
13308,奥多摩町,おくたままち,Okutama,13,13205|13305|13307
13361,大島町,おおしままち,Oshima,13,
13362,利島村,としまむら,Toshima,13,
13363,新島村,にいじまむら,Niijima,13,
13364,神津島村,こうづしまむら,Kozushima,13,
13381,三宅村,みやけむら,Miyake,13,
13382,御蔵島村,みくらじまむら,Mikurajima,13,
13401,八丈町,はちじょうまち,Hachijo,13,
13402,青ヶ島村,あおがしまむら,Aogashima,13,
13421,小笠原村,おがさわらむら,Ogasawara,13,
